"Pos","PIC","No.","Name","Class","Best Tm","Laps","Diff","Gap","Points","Make","Model","Color","Year","City","State","Sponsor","Email"
"1","1","50","Paul  Fusco","GTS4","1:00.633","20",,,"0","Porsche","911",,,,,,
"2","1","4","Sabatello Michael","GTS2","1:02.872","20","6.160","6.160","0","BMW",,,,,,,
"3","1","69","Darrel Stein","PTE","1:01.978","20","7.528","1.368","0",,,,,,,,
"4","2","193","Keith Hammitte","GTS2","1:04.790","19","1 Lap","1 Lap","0","BMW","325is",,,,,,
"5","1","39","Gary Wielgoszinski","944 Cup","1:06.752","19","1 Lap","6.634","0","porsche","944",,,,,,
"6","2","222","Kenneth Stadt","944 Cup","1:06.396","19","1 Lap","0.414","0",,,,,,,,
"7","1","22","Jonathan Reimels","Legends","1:06.092","19","1 Lap","1.765","0","Legends","Chevy Sedan",,,,,,
"8","1","01","Joe Diminno","SER","1:05.513","18","2 Laps","1 Lap","0",,,,,,,,
"9","1","68","James Coleorn","HC5","1:08.189","18","2 Laps","21.798","0",,,,,,,,
"10","1","14","David Deerson","SM","1:08.339","18","2 Laps","0.466","0","Mazda","Miata",,,,,,
"11","1","61","Steve Sabatell","SR","1:09.063","18","2 Laps","0.801","0","FSR",,,,,,,
"12","1","76","Matt Dawson","H3","1:11.918","18","2 Laps","24.930","0","Honda","Del Sol",,,,,,
"13","1","84","Joe Viola","No Class","1:02.070","12","8 Laps","6 Laps","0","Porsche","911",,,,,,
"14","1","73","David Richardson","PTG","1:02.721","12","8 Laps","2.094","0","Alfa Romero",,,,,,,
"15","3","98","Ryoji Sumida","944 Cup","1:06.196","2","18 Laps","10 Laps","0","porsche","944",,,,,,
"16","1","3","paul Levine","AIX",,,,,"0","Townsend","Truck",,,,,,
