"Pos","PIC","No.","Name","Class","Best Tm","Laps","Diff","Gap","Points","Make","Model","Color","Year","City","State","Sponsor","Email"
"1","1","17","Davidson Racing 2","Super Unlimited","1:47.454","13","","","100","Norma","M20F BMW","Red/White","2008","Sparks","NV","",""
"2","1","51","Don McMillon","Super Touring 1","1:55.315","13","5.423","5.423","100","Chevrolet","Corvette","Red","2000","Texarkana","TX","G Speed",""
"3","2","420","Brian Goldburg","Super Touring 1","1:56.124","13","6.405","0.982","90","Panoz","GTS","Yellow/Black/Red","2002","North Yarmouth","ME","Milestone MotorWorX",""
"4","2","44","Ray Sweers","Super Unlimited","1:55.696","13","10.120","3.715","90","Dodge","Viper","Silver","2006","Elkhart","MI","",""
"5","3","71","Terry Mathis","Super Touring 1","1:58.989","13","11.769","1.649","85","Chevrolet","Corvette Z06","Red/Black","2006","Cumming","GA","",""
"6","3","87","Michael Bagnoli","Super Unlimited","1:59.078","13","12.409","0.640","85","Speads","RS11","Black","2011","Lafayette","IN","",""
"7","1","48","John George","Super Touring 2","2:00.294","13","17.249","4.840","100","Factory Five","Challenge Car","Light Blue","2005","Nashua","NH",""Factory Five Racing",""
"8","4","33","Seth Palatnik","Super Touring 1","2:03.699","13","23.341","6.092","80","Dodge Viper","Competition Coupe","White/Blue","2005","Glencoe","IL","",""
"9","2","9","DJ Fitzpatrick","Super Touring 2","1:58.045","13","24.028","0.687","90","BMW","M3","White","2001","Reston","VA","Madison Motorsports",""
"10","1","22","Mark Burt","Super Touring 3","2:04.597","13","29.100","5.072","100","Mazda","RX7","Red","1988","Debary","FL","",""
"11","1","11","Paul Faessler","American Iron Xtreme","2:00.092","13","35.408","0.804","100","Ford","Mustang","Blue","1965","cincinnati","OH","pauls automotive engineering",""
"12","2","13","Ryan Upham","Super Touring 3","2:03.782","13","36.187","0.779","90","BMW","M3","Red","1995","Batavia","IL","cautionSPORT HARD motorsport",""
"13","5","96","David Wright","Super Touring 1","2:07.677","13","40.737","4.550","75","Chevrolet","Camaro","White/Black","2013","Denver","CO","www.arrs.us",""
"14","3","175","Steven Laderman","Super Touring 3","2:05.029","13","34.604","5.504","85","BMW","M3","Black","2002","Alexandria","VA","",""
"15","4","828","Greg Miceli","Super Touring 3","2:07.340","13","42.819","2.082","80","BMW","M3","White","1997","Asbury","NJ","",""
"16","4","58","Richard Cox","Super Unlimited","2:08.244","13","43.894","1.075","80","Chevrolet","Corvette","Black","1999","Calverton","NY","RC Construction",""
"17","1","302","Eric Fuehrer","American Iron","2:08.173","13","44.342","0.448","100","Ford","Mustang","White","2014","Nescopeck","PA","",""
"18","2","47","Corey Weber","American Iron","2:07.979","13","44.909","0.567","90","Ford","Mustang","Black","1994","Carlsbad","CA","Agent 47 Competition Products",""
"19","3","93","Jason Lakomiak","American Iron","2:08.476","13","45.462","0.553","85","Ford","Mustang","Green","1993","Concord","OH","Great Lakes Property Leasing",""
"20","4","75","Mark Adams","American Iron","2:07.815","13","47.399","1.937","80","Ford","Mustang","White","2013","Wentzville","MO","Team UBR  Ford Racing",""
"21","5","95","Patrick Wehmeyer","American Iron","2:07.469","13","47.740","0.341","75","Ford","Mustang","White","1990","Bradenton","FL","Premier Communications Inc",""
"22","2","43","Michael Naab","American Iron Xtreme","2:06.014","13","50.787","3.047","90","Ford","Mustang","Black/Red/White","2000","buffalo","NY","",""
"23","6","77","Bruce Byerly","American Iron","2:09.037","13","51.292","0.505","70","Ford","Mustang FR500S","White","2008","naples","FL","Naples Jet Center",""
"24","7","70","Albert Watson","American Iron","2:08.956","13","53.119","1.827","69","Ford","Mustang","Red","1993","Whitehouse Station","NJ","Street Motorsports",""
"25","6","2","James Keagy","Super Touring 1","2:10.507","13","54.877","1.758","70","Howe","Stock car","Green","2000","Littleton","CO","",""
"26","8","24","AJ Hartman","American Iron","2:07.958","13","55.697","0.820","68","Ford","Mustang GT","Blue","1999","Millville","NJ","AJ Hartman Racing",""
"27","1","78","Warren Sackman","NP01","2:08.842","13","55.826","0.129","100","Elan","NP01","White","2016","Port Washington","NY","Jim Locke Automotive",""
"28","9","36","Perry Herrmann","American Iron","2:09.733","13","57.743","1.917","67","Chevrolet","Camaro SS","Red","2013","Centennial","CO",""E Light Electric Service",""
"29","10","136","Kevin Pyles","American Iron","2:10.003","13","57.884","0.141","66","Pontiac","GTO","Blue","2004","Houston","TX","Builtinappliancecenter.com  SP Racing",""
"30","5","55","Rob Hall","Super Touring 3","2:02.238","13","1:10.223","12.339","75","Thunder","Roadster","Black","2007","Concord","NC","santa claus",""
"31","11","81","Jack Murray","American Iron","2:11.939","12","1 Lap","1 Lap","65","Ford","Mustang GT","Red","2008","Montgomery","TX","JMR",""
"32","3","92","John Gatzemeyer","Super Touring 2","2:17.810","12","1 Lap","13.355","85","Chevrolet","Corvette","Red","2001","Hillsborough","NJ","Elusive Racing",""
"33","6","74","Joel Karns","Super Touring 3","2:21.089","12","1 Lap","14.645","70","Mazda","Miata Exocet","Black/Red","1991","Chester","NJ","",""
"34","2","50","Bryan Putt","NP01","2:10.697","10","3 Laps","2 Laps","90","Elan","NP01","Blue/White","2016","Venetia","PA","",""
"35","5","61","Scott Welham","Super Unlimited","1:55.693","8","5 Laps","2 Laps","75","Dodge","Viper","Black","2015","Louisville","KY","McCann Racing",""
"36","4","38","Doug Winston","Super Touring 2","2:04.987","7","6 Laps","1 Lap","80","Chevrolet","Corvette Z06","Yellow","2002","Elmsford","NY",""D&M Electrical Contracting",""
"DNF","DNF","82","John Pattman","American Iron Xtreme","2:50.925","2","DNF","5 Laps","45","Ford","Mustang","Blue","2008","Midland Park","NJ","Pattman Plumbing Motorsports",""
"DNF","DNF","018","Brian Faessler","Super Unlimited","","","DNF","2 Laps","38","Ford","Mustang","White","2015","Cincinnati","OH",""Paul's Automotive Engineering",""
"DNF","DNF","21","David Greenman","Super Touring 1","","","DNF","1.696","35","Chevrolet","Corvette","Black","2000","Rahway","NJ","Parabellum Racing",""
"DQ","DQ","121","Eric Wong","Super Touring 3","2:02.718","13","DQ","","0","BMW","M3","Blue","2004","Silver Spring","MD","http://www.brakeswap.com",""
"DQ","DQ","101","Vernon Mcclure","Super Touring 3","2:04.234","13","DQ","","0","BMW","M3","Silver","2003","Chesterfield","VA","Main Street Homes",""
"DQ","DQ","510","John Huebner","Super Touring 3","2:03.609","13","DQ","","0","BMW","M3","Black/Red","2003","Raleigh","NC","McDonalds",""
"DQ","DQ","4","Chandler Premo","Super Touring 3","2:01.845","13","DQ","","0","BMW","M3","White","2011","Nashville","TN","",""
"DQ","DQ","06","Matthew Rivard","NP01","2:02.396","13","DQ","","0","Elan","NP01","Black","2016","Kansas City","MO","",""
"DQ","DQ","14","Steve Nichols","American Iron","2:08.365","13","DQ","","0","Ford","Mustang GT","Grey","2011","Spencer","WV","Nichols Graphics",""
"DQ","DQ","63","Joe Bogetich","American Iron","2:08.997","13","DQ","","0","Chevrolet","Camaro","Red","2013","Denver","CO","Bogie Motorsports",""
"DQ","DQ","18","David Beckmann","NP01","2:04.222","13","DQ","","0","Elan","NP01","Black","2016","Mandeville","LA","",""
"DQ","DQ","619","Adrian Wlostowski","Super Touring 2","2:00.266","12","DQ","","0","Chevrolet","Corvette Grand Sport","Black","2010","Maspeth","NY","F.A.S.T. Auto",""
"DQ","DQ","01","Jeremy Croiset","NP01","2:02.006","12","DQ","","0","Elan","NP01","Blue/White","2016","Las Vegas","NV","Toyo Tires",""
"DQ","DQ","16","Dave Balingit","NP01","2:07.671","10","DQ","","0","Elan","NP01","Multi","2016","Denver","CO","TheRaceCave",""
