"Pos","PIC","No.","Name","Class","Best Tm","Laps","Diff","Gap","Points","Make","Model","Color","Year","City","State","Sponsor","Email"
"1","1","34","David Schotz","PTB","2:05.109","11","","","100","Pontiac","Firebird","Yellow","2001","Chandler","AZ","SCCAForums.com / Carbotech",""
"2","2","97","Nicholas Barbato","PTB","2:06.180","11","1.495","1.495","90","Hyundai","Genesis","Grey","2013","Wallingford","CT",""GenRacer",""
"3","3","551","Amy Dilks","PTB","2:08.229","11","18.723","17.228","85","Subaru","WRX STi","Silver","2004","Pleaseant Valley","NY","",""
"4","1","84","Dillon Dexter","PTD","2:09.369","11","19.706","0.983","100","Mazda","Miata","White","1999","Central City","NE","",""
"5","2","22","Charlie Hayes","PTD","2:10.913","11","22.612","2.906","90","Mazda","Miata","Black","1990","Walnut Creek","CA",""Toyo Tires/Charlie Hayes Racing",""
"6","3","11","Hunter Gahl","PTD","2:12.016","11","30.743","8.131","85","BMW","325i","Black","1995","Marietta","GA","",""
"7","1","54","Michael Kanisczak","Honda Chal 1","2:08.887","11","32.734","1.991","100","Honda","S2000","Gray","2007","Astoria","NY","",""
"8","1","47","Warren Dexter","PTE","2:13.079","11","33.611","0.877","100","Mazda","Miata","Orange","1999","Central City","NE","Dexter Racing",""
"9","2","802","Daniel Honovich","Honda Chal 1","2:12.790","11","36.164","2.553","90","Honda","S2000","Suzuka Blue","2002","Carmel","NY","www.MossbergOwners.com",""
"10","4","51","Zane Dexter","PTD","2:13.334","11","36.782","0.618","80","Mazda","Miata","Green","1990","Central City","NE",""Dexter Racing",""
"11","2","58","Brett Westcott","PTE","2:14.005","11","37.613","0.831","90","Nissan","Sentra SE-R","Black","1993","Bellevue","NE",""FEAL Suspension",""
"12","3","156","Todd Buras","PTE","2:14.686","11","38.897","1.284","85","Mazda","Miata","Orange","2002","Melbourne","FL",""Krispy Kreme Doughnuts",""
"13","1","516","Spencer Anderson","Honda Chal 2","2:14.289","11","42.649","3.752","100","Honda","Civic","Red/Grey","1994","Freeport","NY","Lo-Buk Motorsports/ BAR*ONE tuning & performance/ Camber-Toe Performance",""
"14","2","101","Robert Paszkiewicz","Honda Chal 2","2:13.786","11","43.277","0.628","90","Honda","Integra","White","1996","Six Mile","SC","JRI Shocks/Swift Springs/Motovicity/Setrab/Canton",""
"15","4","28","Brian Henderson","PTE","2:14.691","11","45.150","1.873","80","Mazda","Miata","White","1999","Falmouth","VA","BDL Motorsports/Performance Auto Works/Convenience Car Care",""
"16","5","24","Daniel Williams","PTE","2:14.871","11","45.166","0.016","75","Mazda","Miata","Blue","2001","Scottsbluff","NE","Panic motorsports",""
"17","6","41","Jason Connole","PTE","2:14.728","11","45.254","0.088","70","Mazda","Miata","Green/Yellow","2002","Raleigh","NC","Protech Bedliners / Rossini Racing Products / ODR",""
"18","3","32","Jonathan Baker","Honda Chal 2","2:14.632","11","45.721","0.467","85","Acura","Integra Type R","White","1998","Hollywood","MD",""32 Racing",""
"19","3","64","Stephen Pearce","Honda Chal 1","2:14.378","11","46.144","0.423","85","Honda","S2000","Silver","2005","Concord","NC","",""
"20","4","46","Michael Fries","Honda Chal 2","2:14.871","11","47.059","0.915","80","Honda","S2000","Yellow","2008","Westernville","NY","",""
"21","5","10","Erik Olson","Honda Chal 2","2:15.427","11","47.277","0.218","75","Honda","Civic","Red","1992","Pennsburg","PA",""Homestead Valve",""
"22","1","20","Robert Miller","Spec Iron","2:12.898","11","47.920","0.643","100","Ford","Mustang GT","White","2010","monroe","NC","",""
"23","2","68","James Ray","Spec Iron","2:14.098","11","48.323","0.403","90","Ford","Mustang","Blue","2007","Huntersville","NC","",""
"24","6","131","Karl Kondor","Honda Chal 2","2:14.027","11","48.623","0.300","70","Honda","Accord","White","1990","Lilburn","GA","JohnsHondaRecycling-ZZservers-dmzs.com",""
"25","4","81","Vincent Coker","Honda Chal 1","2:13.708","11","49.086","0.463","80","Acura","RSX Type S","Silver","2002","Hoover","AL","EBZ Systec",""
"26","7","17","Jan Wang","Honda Chal 2","2:15.494","11","49.742","0.656","69","Honda","Civic","Red","1992","Tenafly","NJ","",""
"27","7","42","Preston Pardus","PTE","2:14.124","11","50.980","1.238","69","Mazda","Miata","Black/Blue","1999","New Smyrna Beach","FL","Danus Utilities/ ODR/ Rossini Racing Products",""
"28","3","123","Carmine Pace","Spec Iron","2:14.522","11","53.836","2.856","85","Ford","Mustang","Blue","2007","Palnt City","FL","Ramseys Performance",""
"29","4","61","Jeff Feit","Spec Iron","2:13.860","11","54.567","0.731","80","Ford","Mustang","White","2010","Kennett Square","PA",""OTC",""
"30","8","258","Stuart Phillips","Honda Chal 2","2:16.100","11","54.692","0.125","68","Acura","Integra Type R","White","1998","Baldwin","NY","",""
"31","5","09","Patrick Roof","Spec Iron","2:14.327","11","54.759","0.067","75","Ford","Mustang","White/Burgundy","2005","Columbia","SC","",""
"32","9","517","Zephyr Belski","Honda Chal 2","2:17.170","11","55.368","0.609","67","Acura","Integra","Blue","1994","Middlesex","NJ","",""
"33","10","411","John Reamer","Honda Chal 2","2:16.918","11","56.990","1.622","66","Acura","Integra","Silver/Black","1998","Irmo","SC","Johns Honda Recycling",""
"34","5","8","Rob Oxford","Honda Chal 1","2:15.192","11","57.486","0.496","75","Honda","S2000","Red","2001","Hendersonville","TN","",""
"35","11","008","Jeremy Hopps","Honda Chal 2","2:17.149","11","58.030","0.544","65","Honda","Civic EX","Gray","1996","Lombard","IL","",""
"36","8","781","Tyler Harrell","PTE","2:21.581","11","1:03.683","5.653","68","Mazda","Miata","Green","2001","Hartsville","SC","",""
"37","9","114","Michael Neuman","PTE","2:14.937","11","1:08.601","4.918","67","BMW","318i","Grey","1994","Madison","WI","",""
"38","12","59","Navin Dhas","Honda Chal 2","2:17.277","11","1:16.834","8.233","64","Honda","Civic","Grey","1992","Fairfax","VA","#NavSucks Motorsports",""
"39","10","154","Doug Low","PTE","2:26.095","11","1:18.295","1.461","66","Mazda","Miata","Black","1992","Derby","KS","Service Automotive",""
"40","11","129","Neil Houston","PTE","2:33.577","11","1:46.784","28.489","65","Mazda","Miata","Red","1994","Denver","CO","",""
"41","1","67","Bob Denton","CMC","2:13.344","10","1 Lap","1 Lap","100","Pontiac","Firebird","Black","2000","Eureka","IL",""Hoerr Racing",""
"42","2","720","Russ Carter","CMC","2:13.665","10","1 Lap","3.149","90","Ford","Mustang","Black/Blue","1996","Mechanicsville","VA","",""
"43","6","27","GT Meyer","Spec Iron","2:15.983","10","1 Lap","3.573","70","Ford","Mustang GT","Blue","2005","Charleston","SC","",""
"44","7","291","Cash Canada","Spec Iron","2:15.422","10","1 Lap","7.203","69","Ford","Mustang","Silver/Black","2010","Charlotte","NC",""SPF Racing Lugoff",""
"45","3","039","Marshall Moore","CMC","2:17.267","10","1 Lap","2.598","85","Ford","Mustang GT","White","1998","Kent","OH","NOE",""
"46","4","95","Shawn Stern","CMC","2:17.748","10","1 Lap","7.604","80","Chevrolet","Camaro","Burgundy","1995","Richmond","VA","Shawn Stern Computer Services",""
"47","5","6","Jim Mayer","CMC","2:18.254","10","1 Lap","0.183","75","Pontiac","Firebird","Yellow/White","1989","BATH","OH","",""
"48","4","78","Jeff Ricca","PTB","2:06.613","8","3 Laps","2 Laps","80","Hyundai","Genesis Coupe","White","2013","Milford","CT","Genracer.com",""
"49","13","501","Micheal Young","Honda Chal 2","2:17.691","8","3 Laps","17.565","63","Acura","Integra-R","Black","2000","Nokesville","VA","SHINEandLINE.com RedRocketEnergy.com CustomWheelsBoutique.com",""
"50","14","37","Brian Casella","Honda Chal 2","2:15.417","7","4 Laps","1 Lap","62","Acura","Integra Type R","White","1999","Pompton Plains","NJ","Casella Racing",""
"51","6","59","Todd Johnston","CMC","2:18.395","7","4 Laps","3:19.740","70","Pontiac","Firebird Formula","Black/Gold","1998","Avon","IN","AARP",""
"52","5","42","Rick Goryeb","PTD","2:20.657","6","5 Laps","1 Lap","75","Scion","FRS","White","2012","Far Hills","NJ","Argotech",""
"DNF","DNF","00","Helen Nester","Honda Chal 2","2:22.702","3","DNF","3 Laps","31","Honda","Civic","Black/Green","1993","Hammond","IN","HOEKSTRA CHASSIS CUSTOM & SERVICE",""
"DNF","DNF","88","John  Oldt","Honda Chal 1","","","DNF","3 Laps","38","Acura","Integra","White","1998","Allentown","PA","G-Loc, Hondaworks, Hasport, Brakeswap.com",""
"DQ","DQ","39","Danny Steyn","PTE","2:14.238","11","DQ","","0","Mazda","Miata","Blue/Orange","1999","Fort Lauderdale","FL","Adept/Rossini/OPM/Traqmate/Traqgear/G-Loc",""
"DQ","DQ","808","Anthony Zwain","PTB","2:06.802","4","DQ","","0","BMW","M3","Gry/Grn/Wht","2006","Mountain View","CA","Edge Motorworks, Bimmer World, Hoosier Tire, TFB P",""
